Rk,Team,Date,TD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C
1,PHI,2013-11-03,7,Sun,9,9,@,OAK,W 49-20,24,31,7,77.4,418,7,0,22.6,0.0,158.3,1,1,3.13,13.5,13.06,18.00,17.44,17.4
2,TAM,2020-12-26,6,Sat,15,16,@,DET,W 47-7,31,42,11,73.8,477,6,0,14.3,0.0,151.9,2,14,4.55,11.4,10.84,14.21,13.57,15.4
3,BAL,2019-09-08,6,Sun,1,1,@,MIA,W 59-10,23,26,3,88.5,378,6,0,23.1,0.0,158.3,1,1,3.70,14.5,14.00,19.15,18.44,16.4
4,KAN,2018-11-19,6,Mon,11,11,@,LAR,L 51-54,33,46,13,71.7,448,6,3,13.0,6.5,117.6,3,30,6.12,9.7,9.14,9.41,8.84,13.6
5,KAN,2018-09-16,6,Sun,2,2,@,PIT,W 42-37,23,28,5,82.1,322,6,0,21.4,0.0,154.8,1,4,3.45,11.5,11.10,15.79,15.24,14.0
6,NYG,2015-11-01,6,Sun,8,8,@,NOR,L 49-52,30,41,11,73.2,329,6,0,14.6,0.0,138.2,3,21,6.82,8.0,7.48,10.95,10.20,11.0
7,GNB,2012-10-14,6,Sun,6,6,@,HOU,W 42-24,24,37,13,64.9,328,6,0,16.2,0.0,133.8,2,10,5.13,8.9,8.41,12.11,11.49,13.7
8,DAL,2022-01-08,5,Sat,17,18,@,PHI,W 51-26,22,28,6,78.6,304,5,0,17.9,0.0,151.6,1,1,3.45,10.9,10.48,14.43,13.93,13.8
9,KAN,2021-11-14,5,Sun,10,10,@,LVR,W 41-14,36,51,15,70.6,422,5,0,9.8,0.0,128.1,0,0,0.00,8.3,8.27,10.24,10.24,11.7
10,KAN,2021-10-03,5,Sun,4,4,@,PHI,W 42-30,24,30,6,80.0,271,5,1,16.7,3.3,131.0,1,7,3.23,9.0,8.74,10.87,10.52,11.3
11,CLE,2020-10-25,5,Sun,7,7,@,CIN,W 37-34,23,29,6,79.3,316,5,1,17.2,3.4,137.3,0,0,0.00,10.9,10.90,12.79,12.79,13.7
12,NYG,2019-12-22,5,Sun,15,16,@,WAS,W 41-35 (OT),28,42,14,66.7,346,5,0,11.9,0.0,132.1,1,6,2.33,8.2,8.05,10.62,10.37,12.4
13,SFO,2019-12-08,5,Sun,13,14,@,NOR,W 48-46,27,36,9,75.0,354,5,1,13.9,2.8,137.0,3,30,7.69,9.8,9.08,11.36,10.49,13.1
14,BAL,2019-11-25,5,Mon,11,12,@,LAR,W 45-6,16,23,7,69.6,195,5,0,21.7,0.0,137.3,3,13,11.54,8.5,7.50,12.83,11.35,12.2
15,CAR,2015-12-20,5,Sun,14,15,@,NYG,W 38-35,25,45,20,55.6,309,5,0,11.1,0.0,116.9,3,31,6.25,6.9,6.44,9.09,8.52,12.4
16,SEA,2015-12-13,5,Sun,13,14,@,BAL,W 35-6,24,33,9,72.7,301,5,0,15.2,0.0,140.3,0,0,0.00,9.1,9.12,12.15,12.15,12.5
17,CAR,2015-12-06,5,Sun,12,13,@,NOR,W 41-38,28,41,13,68.3,322,5,1,12.2,2.4,122.1,1,9,2.38,7.9,7.67,9.20,8.98,11.5
18,JAX,2015-12-06,5,Sun,12,13,@,TEN,L 39-42,24,36,12,66.7,302,5,0,13.9,0.0,134.5,2,20,5.26,8.4,7.95,11.17,10.58,12.6
19,TAM,2015-11-22,5,Sun,10,11,@,PHI,W 45-17,19,29,10,65.5,238,5,0,17.2,0.0,131.6,1,8,3.33,8.2,7.93,11.66,11.27,12.5
20,NOR,2014-11-30,5,Sun,12,13,@,PIT,W 35-32,19,27,8,70.4,250,5,0,18.5,0.0,140.0,1,7,3.57,9.3,8.93,12.96,12.50,13.2
21,DEN,2014-11-09,5,Sun,9,10,@,OAK,W 41-17,33,49,16,67.3,353,5,2,10.2,4.1,105.2,0,0,0.00,7.2,7.20,7.41,7.41,10.7
22,BAL,2014-10-12,5,Sun,6,6,@,TAM,W 48-17,21,28,7,75.0,306,5,0,17.9,0.0,149.7,0,0,0.00,10.9,10.93,14.50,14.50,14.6
