Rk,Team,Date,TD,Day,G#,Week,,Opp,Result,Cmp,Att,Inc,Cmp%,Yds,TD,Int,TD%,Int%,Rate,Sk,Yds,Sk%,Y/A,NY/A,AY/A,ANY/A,Y/C
1,PHI,2018-02-04,4,Sun,3,21,N,NWE,W 41-33,29,44,15,65.9,374,4,1,9.1,2.3,113.3,0,0,0.00,8.5,8.50,9.30,9.30,12.9
2,NWE,2015-02-01,4,Sun,3,21,N,SEA,W 28-24,37,50,13,74.0,320,4,2,8.0,4.0,101.1,1,8,1.96,6.4,6.27,6.20,6.08,8.6
3,LAR,2022-02-13,3,Sun,4,22,N,CIN,W 23-20,26,41,15,63.4,270,3,2,7.3,4.9,87.8,2,13,4.65,6.6,6.28,5.85,5.58,10.4
4,TAM,2021-02-07,3,Sun,4,21,N,KAN,W 31-9,21,29,8,72.4,195,3,0,10.3,0.0,125.8,1,6,3.33,6.7,6.50,8.79,8.50,9.3
5,NWE,2018-02-04,3,Sun,3,21,N,PHI,L 33-41,28,49,21,57.1,500,3,0,6.1,0.0,113.1,1,5,2.00,10.2,10.00,11.43,11.20,17.9
6,BAL,2013-02-03,3,Sun,4,21,N,SFO,W 34-31,22,33,11,66.7,274,3,0,9.1,0.0,124.2,2,13,5.71,8.3,7.83,10.12,9.54,12.5
7,GNB,2011-02-06,3,Sun,4,21,N,PIT,W 31-25,24,39,15,61.5,288,3,0,7.7,0.0,111.5,3,16,7.14,7.4,6.86,8.92,8.29,12.0
8,CIN,2022-02-13,2,Sun,4,22,N,LAR,L 20-23,23,34,11,67.6,226,2,0,5.9,0.0,111.0,7,43,17.07,6.6,5.51,7.82,6.49,9.8
9,KAN,2020-02-02,2,Sun,3,21,N,SFO,W 31-20,26,42,16,61.9,268,2,2,4.8,4.8,78.1,4,18,8.70,6.4,5.83,5.19,4.74,10.3
10,ATL,2017-02-05,2,Sun,3,21,N,NWE,L 28-34 (OT),17,23,6,73.9,240,2,0,8.7,0.0,144.1,5,44,17.86,10.4,8.57,12.17,10.00,14.1
11,NWE,2017-02-05,2,Sun,3,21,N,ATL,W 34-28 (OT),43,63,20,68.3,442,2,1,3.2,1.6,93.8,5,24,7.35,7.0,6.50,6.94,6.43,10.3
12,SEA,2015-02-01,2,Sun,3,21,N,NWE,L 24-28,12,21,9,57.1,234,2,1,9.5,4.8,110.6,3,13,12.50,11.1,9.75,10.90,9.54,19.5
13,SEA,2014-02-02,2,Sun,3,21,N,DEN,W 43-8,18,26,8,69.2,206,2,0,7.7,0.0,118.4,0,0,0.00,7.9,7.92,9.46,9.46,11.4
14,NWE,2012-02-05,2,Sun,3,21,N,NYG,L 17-21,27,41,14,65.9,266,2,1,4.9,2.4,91.1,2,10,4.65,6.5,6.19,6.37,6.07,9.9
15,PIT,2011-02-06,2,Sun,3,21,N,GNB,L 25-31,25,40,15,62.5,261,2,2,5.0,5.0,77.4,1,2,2.44,6.5,6.37,5.28,5.15,10.4
16,NOR,2010-02-07,2,Sun,3,21,N,IND,W 31-17,32,39,7,82.1,281,2,0,5.1,0.0,114.5,1,7,2.50,7.2,7.03,8.23,8.03,8.8
17,SFO,2020-02-02,1,Sun,3,21,N,KAN,L 20-31,20,31,11,64.5,210,1,2,3.2,6.5,69.2,1,9,3.13,6.8,6.56,4.52,4.38,10.5
18,DEN,2014-02-02,1,Sun,3,21,N,SEA,L 8-43,34,49,15,69.4,279,1,2,2.0,4.1,73.5,1,1,2.00,5.7,5.58,4.27,4.18,8.2
19,SFO,2013-02-03,1,Sun,3,21,N,BAL,L 31-34,16,28,12,57.1,286,1,1,3.6,3.6,91.7,3,16,9.68,10.2,9.23,9.32,8.42,17.9
20,NYG,2012-02-05,1,Sun,4,21,N,NWE,W 21-17,30,40,10,75.0,282,1,0,2.5,0.0,103.7,3,14,6.98,7.1,6.56,7.55,7.02,9.4
21,IND,2010-02-07,1,Sun,3,21,N,NOR,L 17-31,31,45,14,68.9,333,1,1,2.2,2.2,88.5,0,0,0.00,7.4,7.40,6.84,6.84,10.7
22,KAN,2021-02-07,0,Sun,3,21,N,TAM,L 9-31,26,49,23,53.1,243,0,2,0.0,4.1,52.3,3,27,5.77,5.0,4.67,3.12,2.94,9.3
23,NWE,2019-02-03,0,Sun,3,21,N,LAR,W 13-3,21,35,14,60.0,253,0,1,0.0,2.9,71.4,1,9,2.78,7.2,7.03,5.94,5.78,12.0
24,LAR,2019-02-03,0,Sun,3,21,N,NWE,L 3-13,19,38,19,50.0,198,0,1,0.0,2.6,57.9,4,31,9.52,5.2,4.71,4.03,3.64,10.4
25,DEN,2016-02-07,0,Sun,3,21,N,CAR,W 24-10,13,23,10,56.5,104,0,1,0.0,4.3,56.6,5,37,17.86,4.5,3.71,2.57,2.11,8.0
26,CAR,2016-02-07,0,Sun,3,21,N,DEN,L 10-24,18,41,23,43.9,197,0,1,0.0,2.4,55.4,7,68,14.58,4.8,4.10,3.71,3.17,10.9
